Municipio,Departamento,Votos para senado 2014,Porcentaje de Oscar Ivan Zuluaga (1ra vuelta),Total (1ra vuelta),Participacion (1ra vuelta),Ganador (1ra vuelta),Porcentaje de Oscar Ivan Zuluaga (2da vuelta),Total (2da vuelta),Participacion (2da vuelta),Ganador,Censo electoral 2016,Actos terroristas,Amenaza,Desplazamiento,Homicidio,Secuestro,Vinculacion de Niños y Adolescentes,Minas Antipersonal,Abandono o Despojo de Tierras,Afectado por el conflicto (Pares),Afectado por el conflicto (Pares)2,Votos por el No,No,Votos por el Si,Si,Votos validos,Votos totales,Cuantos salieron a votar,ind ruralidad 2014,Zonas de concentracion,Cultivos ilicitos,Hectareas de coca,Hectareas de amapola
GAMEZA,BOYACA,1295,35.45%,1588,39.27%,Zuluaga,75.35%,1984,49.06%,Zuluaga,4056,0.63,0.21,14.66,1.88,0,0,0.21,0,Ninguno,0,825,0.570539419,621,0.429460581,1446,1491,36.76%,68.21%,No,No,0,0
GARAGOA,BOYACA,3841,32.20%,5187,44.97%,Zuluaga,56.62%,5978,51.82%,Zuluaga,11845,0,1.3,13.37,4.95,0.12,0.41,0,0,Ninguno,0,2485,0.49511855,2534,0.50488145,5019,5174,43.68%,19.89%,No,No,0,0
GUACAMAYAS,BOYACA,803,79.30%,802,48.84%,Zuluaga,88.63%,906,55.18%,Zuluaga,1656,0,3.62,41.64,6.04,0,0,0,0,Ninguno,0,479,0.797004992,122,0.202995008,601,631,38.10%,70.81%,No,No,0,0
GUATEQUE,BOYACA,2620,28.47%,3663,41.63%,Zuluaga,50.61%,4155,47.23%,Zuluaga,8954,0.1,1.15,18.53,4.29,0.63,0.42,0,0,Ninguno,0,1599,0.482062104,1718,0.517937896,3317,3421,38.21%,25.71%,No,No,0,0
GUAYATA,BOYACA,1294,47.09%,1686,43.50%,Zuluaga,74.39%,1999,51.57%,Zuluaga,3849,0.2,0.6,27.13,6.78,0,0,0,0,Ninguno,0,633,0.423694779,861,0.576305221,1494,1530,39.75%,75.05%,No,No,0,0
GUICAN,BOYACA,958,65.08%,1529,51.10%,Zuluaga,79.64%,1631,54.51%,Zuluaga,3033,0.15,7.35,44.7,11.62,0.29,0.15,0,0,Ninguno,0,592,0.515679443,556,0.484320557,1148,1204,39.70%,75.62%,No,No,0,0
IZA,BOYACA,682,34.99%,946,44.73%,Zuluaga,61.05%,1050,49.65%,Zuluaga,2224,0,0,10.11,5.06,0,0,0,0,Ninguno,0,465,0.558894231,367,0.441105769,832,857,38.53%,56.39%,No,No,0,0
JENESANO,BOYACA,1359,32.67%,1751,33.06%,Zuluaga,60.43%,2684,50.68%,Zuluaga,5464,0,0,4.05,0,0,0.26,0,0,Ninguno,0,584,0.361609907,1031,0.638390093,1615,1673,30.62%,74.36%,No,No,0,0
JERICO,BOYACA,1023,72.18%,1366,44.15%,Zuluaga,85.41%,1611,52.07%,Zuluaga,3218,0,4.8,59.91,8.09,0,0.25,0,0,Ninguno,0,570,0.613562971,359,0.386437029,929,974,30.27%,84.36%,No,No,0,0
LABRANZAGRANDE,BOYACA,832,72.62%,1125,42.13%,Zuluaga,84.69%,1476,55.28%,Zuluaga,2722,3.75,27.23,265.59,71.03,2.37,1.18,2.17,0,Intermedio,2,529,0.543679342,444,0.456320658,973,1003,36.85%,77.50%,No,No,0,0
LA CAPILLA,BOYACA,759,35.49%,1051,40.83%,Zuluaga,64.58%,1324,51.44%,Zuluaga,2576,0,0,15.21,0.8,0,0,0,0,Ninguno,0,493,0.484282908,525,0.515717092,1018,1072,41.61%,62.39%,No,No,0,0
LA VICTORIA,BOYACA,451,28.98%,566,38.29%,Santos,46.93%,750,50.74%,Santos,1513,0,4.78,24.49,8.96,0,0,0,0,Ninguno,0,136,0.245931284,417,0.754068716,553,573,37.87%,49.52%,No,No,0,0
LA UVITA,BOYACA,896,56.06%,1204,47.93%,Zuluaga,78.68%,1215,48.37%,Zuluaga,2537,0,6.98,40.66,8.21,0.41,0,0,0,Ninguno,0,611,0.680400891,287,0.319599109,898,933,36.78%,60.25%,No,No,0,0
VILLA DE LEIVA,BOYACA,3475,26.81%,5017,52.92%,Zuluaga,52.27%,5927,62.52%,Zuluaga,10171,0,0.06,0.06,0.18,0.12,0,0,0,Ninguno,0,2307,0.482030924,2479,0.517969076,4786,4877,47.95%,40.00%,No,No,0,0
MACANAL,BOYACA,1104,48.22%,1516,42.91%,Zuluaga,66.74%,1807,51.15%,Zuluaga,3603,0,3.94,38.12,15.54,2.07,0.41,0,0,Ninguno,0,728,0.610738255,464,0.389261745,1192,1235,34.28%,77.23%,No,No,0,0
MARIPI,BOYACA,2244,45.74%,2241,34.16%,Zuluaga,55.07%,2947,44.92%,Zuluaga,6271,0,5.66,56.17,9.29,0,0,0.13,0,Ninguno,0,459,0.250819672,1371,0.749180328,1830,1871,29.84%,87.14%,No,No,0,0
MIRAFLORES,BOYACA,2544,25.91%,3821,50.62%,Zuluaga,40.13%,4216,55.86%,Santos,7568,0.61,21.78,75.57,11.45,2.45,1.02,0,0,Ninguno,0,1233,0.346056694,2330,0.653943306,3563,3688,48.73%,43.08%,No,No,0,0
MONGUA,BOYACA,1390,64.87%,2186,56.91%,Zuluaga,88.23%,2421,63.03%,Zuluaga,4003,1.07,2.79,46.38,9.45,0,0.43,0.21,0,Ninguno,0,1258,0.760120846,397,0.239879154,1655,1686,42.12%,65.58%,No,No,0,0
MONGUI,BOYACA,1234,31.76%,1713,49.85%,Lopez,70.93%,1875,54.57%,Zuluaga,3643,0,1,3.61,0,0,0,0,0,Ninguno,0,870,0.621428571,530,0.378571429,1400,1434,39.36%,43.83%,No,No,0,0
MONIQUIRA,BOYACA,5917,29.82%,6904,41.15%,Zuluaga,53.79%,8266,49.27%,Zuluaga,17452,0.05,0.66,11.62,4.78,0.42,0,0,0,Ninguno,0,3016,0.48079069,3257,0.51920931,6273,6492,37.20%,51.10%,No,No,0,0
MOTAVITA,BOYACA,1777,18.68%,1949,40.95%,Lopez,46.90%,2642,55.52%,Santos,4938,0,0.73,1.34,0,0.24,0,0,0,Ninguno,0,836,0.466778336,955,0.533221664,1791,1846,37.38%,89.18%,No,No,0,0
MUZO,BOYACA,2301,40.45%,2860,41.09%,Zuluaga,68.36%,3268,46.95%,Zuluaga,7195,0,5.05,86.72,14.25,0.45,0,0,0,Ninguno,0,1470,0.631443299,858,0.368556701,2328,2420,33.63%,41.38%,No,No,0,0
NOBSA,BOYACA,3812,13.99%,6110,56.05%,Lopez,42.16%,6458,59.24%,Santos,11546,0.49,0.31,2.26,0.55,0.18,0,0,0,Ninguno,0,2809,0.497696669,2835,0.502303331,5644,5741,49.72%,61.07%,No,No,0,0
NUEVO COLON,BOYACA,1175,22.04%,1588,35.79%,Ramirez,62.84%,2293,51.68%,Zuluaga,4608,0,0.15,4.24,1.06,0,0,0,0,Ninguno,0,624,0.360485269,1107,0.639514731,1731,1794,38.93%,80.38%,No,No,0,0
OICATA,BOYACA,843,17.62%,999,43.62%,Ramirez,52.35%,1213,52.97%,Zuluaga,2392,0,0,1.77,0,0,0,0,0,Ninguno,0,492,0.448495898,605,0.551504102,1097,1135,47.45%,89.44%,No,No,0,0
OTANCHE,BOYACA,2173,65.41%,2712,42.69%,Zuluaga,78.63%,2957,46.54%,Zuluaga,6406,0.47,8.62,138.32,25.68,0.37,0.09,0,0,Ninguno,0,1297,0.559534081,1021,0.440465919,2318,2369,36.98%,60.95%,No,Si,4.55,0
PACHAVITA,BOYACA,687,48.26%,864,43.33%,Zuluaga,70.26%,1133,56.82%,Zuluaga,2001,0,0.41,5.71,7.75,0,0,0,0,Ninguno,0,374,0.502688172,370,0.497311828,744,779,38.93%,84.30%,No,No,0,0
PAEZ,BOYACA,853,45.55%,1258,55.54%,Zuluaga,54.35%,1437,63.44%,Zuluaga,2338,9.77,50.92,592.26,43.95,8.72,2.44,0,0,Ninguno,0,613,0.523484202,558,0.476515798,1171,1228,52.52%,60.62%,No,No,0,0
PAIPA,BOYACA,8678,22.47%,10940,46.33%,Zuluaga,49.17%,12777,54.11%,Zuluaga,24543,0,0.06,1.77,1.1,0.03,0.03,0,0,Ninguno,0,4866,0.440242468,6187,0.559757532,11053,11312,46.09%,38.85%,No,No,0,0
PAJARITO,BOYACA,578,65.68%,746,46.28%,Zuluaga,75.98%,870,53.97%,Zuluaga,1713,13.77,42.51,465.87,93.41,4.19,2.4,16.17,0,Bajo,1,399,0.630331754,234,0.369668246,633,650,37.95%,58.11%,No,No,0,0
PANQUEBA,BOYACA,530,73.92%,717,47.30%,Zuluaga,88.01%,801,52.84%,Zuluaga,1605,0,0.69,54.41,20.66,0,0,0,0,Ninguno,0,335,0.540322581,285,0.459677419,620,649,40.44%,59.89%,No,No,0,0
PAUNA,BOYACA,2179,41.04%,2885,42.68%,Zuluaga,65.32%,3423,50.64%,Zuluaga,6712,0.83,4.54,52.98,23.62,0.09,0.09,0,0,Ninguno,0,802,0.34524322,1521,0.65475678,2323,2401,35.77%,75.62%,No,No,0,0
PAYA,BOYACA,511,42.66%,668,52.02%,Zuluaga,79.65%,737,57.40%,Zuluaga,1406,2.36,18.92,195.51,21.28,0.39,1.58,1.18,0,Intermedio,2,383,0.544807966,320,0.455192034,703,737,52.42%,77.60%,No,No,0,0
PAZ DE RIO,BOYACA,1661,9.97%,1725,39.04%,Lopez,30.93%,2053,46.47%,Santos,4373,1.95,0.43,15.81,0.87,0,0,0,0,Ninguno,0,566,0.335905045,1119,0.664094955,1685,1741,39.81%,37.98%,No,No,0,0
PESCA,BOYACA,2046,33.45%,2326,37.84%,Zuluaga,73.74%,2848,46.33%,Zuluaga,6418,0,1.4,18.32,4.96,0.13,0,0.25,0,Ninguno,0,1061,0.599096556,710,0.400903444,1771,1819,28.34%,75.29%,No,No,0,0
PISBA,BOYACA,387,60.46%,478,49.38%,Zuluaga,72.48%,556,57.44%,Zuluaga,1021,4.54,31.75,327.29,49.13,1.51,5.29,4.54,0,Intermedio,2,256,0.567627494,195,0.432372506,451,463,45.35%,71.55%,No,No,0,0
PUERTO BOYACA,BOYACA,8241,30.62%,13362,42.49%,Zuluaga,53.18%,14422,45.86%,Zuluaga,35230,0.29,6.7,79.42,16.05,0.99,0.14,0,0,Ninguno,0,9611,0.692385275,4270,0.307614725,13881,14347,40.72%,31.80%,No,Si,3.16,0
QUIPAMA,BOYACA,1319,55.42%,1947,40.21%,Zuluaga,75.57%,2292,47.34%,Zuluaga,4928,0.13,3.09,43.6,5.79,0.13,0,0,0,Ninguno,0,1066,0.625954198,637,0.374045802,1703,1768,35.88%,79.84%,No,No,0,0
RAMIRIQUI,BOYACA,2596,36.48%,3380,40.08%,Zuluaga,59.63%,4374,51.87%,Zuluaga,8601,0,0,12.9,0.71,0.1,0,0,0,Ninguno,0,1267,0.463593121,1466,0.536406879,2733,2789,32.43%,50.34%,No,No,0,0
RAQUIRA,BOYACA,1527,30.12%,2168,49.22%,Ramirez,61.85%,2422,54.98%,Zuluaga,4570,0,0.37,0.66,0.37,0,0,0,0,Ninguno,0,851,0.510804322,815,0.489195678,1666,1730,37.86%,75.23%,No,No,0,0
RONDON,BOYACA,831,42.71%,974,43.37%,Zuluaga,60.73%,1207,53.74%,Zuluaga,2283,1.07,1.07,21.82,0.72,0,0,0,0,Ninguno,0,426,0.475977654,469,0.524022346,895,929,40.69%,80.89%,No,No,0,0
SABOYA,BOYACA,3087,32.34%,4122,43.76%,Zuluaga,58.84%,5563,59.06%,Zuluaga,9555,0.08,0.24,3.98,0.65,0.08,0,0,0,Ninguno,0,1250,0.357551487,2246,0.642448513,3496,3664,38.35%,93.66%,No,No,0,0
SACHICA,BOYACA,1447,19.27%,1489,47.63%,Santos,48.10%,1973,63.12%,Santos,3320,0,0,1.85,0,0,0,0,0,Ninguno,0,624,0.470588235,702,0.529411765,1326,1350,40.66%,51.07%,No,No,0,0
SAMACA,BOYACA,4998,15.89%,5694,44.97%,Ramirez,57.16%,7133,56.33%,Zuluaga,13405,0,0.3,2.49,0,0,0,0,0,Ninguno,0,2340,0.499679693,2343,0.500320307,4683,4849,36.17%,70.45%,No,No,0,0
SAN EDUARDO,BOYACA,435,36.01%,686,48.21%,Zuluaga,61.40%,785,55.17%,Zuluaga,1463,1.61,9.11,94.8,18.75,3.75,0.54,0,0,Ninguno,0,245,0.360824742,434,0.639175258,679,711,48.60%,56.04%,No,No,0,0
SAN JOSE DE PARE,BOYACA,1803,41.63%,1739,33.73%,Zuluaga,65.47%,2320,45.00%,Zuluaga,5295,0,0.58,13.77,3.68,0.19,0,0,0,Ninguno,0,844,0.47150838,946,0.52849162,1790,1838,34.71%,79.80%,No,No,0,0
SAN LUIS DE GACENO,BOYACA,1538,56.85%,2028,45.22%,Zuluaga,75.28%,2391,53.31%,Zuluaga,4488,1.8,8.61,139.51,29.22,2,0.6,0,0,Ninguno,0,1111,0.638872915,628,0.361127085,1739,1779,39.64%,65.04%,No,No,0,0
SAN MATEO,BOYACA,1477,75.17%,1736,46.82%,Zuluaga,85.42%,1913,51.59%,Zuluaga,3636,0,5.03,134,18.7,0.28,0,0,0,Ninguno,0,720,0.661764706,368,0.338235294,1088,1147,31.55%,60.94%,No,No,0,0
SAN MIGUEL DE SEMA,BOYACA,638,23.20%,1151,42.29%,Ramirez,62.76%,1407,51.69%,Zuluaga,2760,0,0,1.32,1.32,0,0,0,0,Ninguno,0,550,0.517403575,513,0.482596425,1063,1101,39.89%,89.31%,No,No,0,0
SAN PABLO DE BORBUR,BOYACA,1862,70.26%,2340,40.52%,Zuluaga,80.52%,2674,46.30%,Zuluaga,5810,0,4.87,61.46,14.22,0.1,0,0,0,Ninguno,0,1246,0.680874317,584,0.319125683,1830,1890,32.53%,87.60%,No,No,0,0
SANTANA,BOYACA,2853,31.44%,2303,35.35%,Santos,49.11%,3160,48.51%,EMPATE,6831,0,1.04,18.9,3.52,0.39,0,0,0,Ninguno,0,1034,0.48317757,1106,0.51682243,2140,2198,32.18%,69.64%,No,No,0,0
SANTA MARIA,BOYACA,943,35.38%,1416,41.93%,Zuluaga,55.73%,1396,41.34%,Zuluaga,3309,1.28,4.85,60.75,22.46,0.51,0.26,0,0,Ninguno,0,656,0.602387511,433,0.397612489,1089,1137,34.36%,42.65%,No,No,0,0
SANTA ROSA DE VITERBO,BOYACA,2850,28.17%,4136,53.58%,Ramirez,63.19%,4444,57.56%,Zuluaga,8045,0,0,3.28,0.82,0.15,0,0,0,Ninguno,0,2073,0.571704357,1553,0.428295643,3626,3726,46.31%,46.65%,No,No,0,0
SANTA SOFIA,BOYACA,980,38.79%,1258,42.50%,Zuluaga,68.73%,1506,50.88%,Zuluaga,3068,0,3.39,7.9,0,0.38,0,0,0,Ninguno,0,399,0.381088825,648,0.618911175,1047,1084,35.33%,73.48%,No,No,0,0
SATIVANORTE,BOYACA,893,49.57%,920,38.85%,Zuluaga,64.11%,1162,49.07%,Zuluaga,2398,1.3,3.9,37.29,11.27,0,0,0,0,Ninguno,0,362,0.492517007,373,0.507482993,735,773,32.24%,77.70%,No,No,0,0
SATIVASUR,BOYACA,545,18.85%,435,35.42%,Ramirez,52.67%,619,50.41%,Zuluaga,1227,0,1.83,19.2,0,0,0,0,0,Ninguno,0,174,0.469002695,197,0.530997305,371,377,30.73%,76.08%,No,No,0,0
SIACHOQUE,BOYACA,2305,32.42%,2869,47.73%,Zuluaga,74.58%,3659,60.87%,Zuluaga,6256,0,0,1.23,0,0,0,0,0,Ninguno,0,1453,0.651277454,778,0.348722546,2231,2310,36.92%,82.58%,No,No,0,0
SOATA,BOYACA,3036,36.52%,4011,55.69%,Zuluaga,58.31%,4344,60.31%,Zuluaga,7449,0.14,0.71,20.94,1.98,0,0,0,0,Ninguno,0,1989,0.576521739,1461,0.423478261,3450,3543,47.56%,28.94%,No,No,0,0
SOCOTA,BOYACA,1850,62.25%,2519,42.80%,Zuluaga,74.03%,3088,52.47%,Zuluaga,5922,1.01,5.04,91,13.86,0.38,0.5,0,0,Ninguno,0,1214,0.605486284,791,0.394513716,2005,2104,35.53%,87.32%,No,No,0,0
SOCHA,BOYACA,1888,28.45%,2306,37.69%,Zuluaga,57.12%,2780,45.44%,Zuluaga,6151,1.55,4.51,32.01,4.79,0.14,0,0,0,Ninguno,0,1160,0.504786771,1138,0.495213229,2298,2395,38.94%,46.89%,No,No,0,0
SOGAMOSO,BOYACA,27231,22.39%,44226,52.16%,Lopez,50.50%,45135,53.23%,Zuluaga,89443,0.05,0.69,4.1,2.12,0.07,0.08,0,0,Ninguno,0,20865,0.507343286,20261,0.492656714,41126,41974,46.93%,13.36%,No,No,0,0
SOMONDOCO,BOYACA,850,42.66%,1165,41.21%,Zuluaga,64.80%,1318,46.62%,Zuluaga,2779,0.28,0,19.97,10.97,0.28,0,0,0,Ninguno,0,344,0.394043528,529,0.605956472,873,895,32.21%,78.53%,No,No,0,0
SORA,BOYACA,1117,15.53%,1198,49.28%,Santos,50.58%,1477,60.76%,Zuluaga,2528,0,0,0.99,0,0,0,0,0,Ninguno,0,459,0.400873362,686,0.599126638,1145,1319,52.18%,83.59%,No,No,0,0
SOTAQUIRA,BOYACA,1617,26.65%,2011,38.87%,Ramirez,66.32%,2770,53.54%,Zuluaga,5413,0,0.4,3.3,0,0,0,0,0,Ninguno,0,978,0.484878532,1039,0.515121468,2017,2070,38.24%,90.85%,No,No,0,0
SORACA,BOYACA,1823,17.96%,2411,47.80%,Ramirez,72.77%,3118,61.82%,Zuluaga,5229,0,0,2.08,0,0,0,0,0,Ninguno,0,1489,0.668012562,740,0.331987438,2229,2273,43.47%,86.08%,No,No,0,0
SUSACON,BOYACA,1216,32.32%,1148,44.48%,Ramirez,67.82%,1299,50.33%,Zuluaga,2580,0,0.66,55.17,29.07,0,0,0,0,Ninguno,0,410,0.369036904,701,0.630963096,1111,1166,45.19%,69.31%,No,No,0,0
SUTAMARCHAN,BOYACA,2057,38.61%,2243,45.32%,Zuluaga,63.71%,2910,58.80%,Zuluaga,5264,0,0,2.04,0,0,0,0,0,Ninguno,0,931,0.451284537,1132,0.548715463,2063,2119,40.25%,77.31%,No,No,0,0
SUTATENZA,BOYACA,1448,45.59%,1531,42.56%,Zuluaga,63.53%,1826,50.76%,Zuluaga,3682,0,0,3.97,1.49,0,0,0,0,Ninguno,0,662,0.519623234,612,0.480376766,1274,1318,35.80%,81.39%,No,No,0,0
TASCO,BOYACA,1624,23.34%,1757,35.37%,Santos,39.03%,2403,48.37%,Santos,4986,0.16,0.32,9.69,3.65,0.32,0,0.16,0,Ninguno,0,641,0.412483912,913,0.587516088,1554,1598,32.05%,70.42%,No,No,0,0
TENZA,BOYACA,980,42.25%,1406,40.43%,Zuluaga,65.50%,1794,51.58%,Zuluaga,3555,0,0,1.48,0,0,0.25,0,0,Ninguno,0,592,0.365432099,1028,0.634567901,1620,1663,46.78%,70.63%,No,No,0,0
TIBANA,BOYACA,1965,25.93%,2349,31.70%,Santos,47.32%,3227,43.55%,Santos,7402,0,0,5.8,0.22,0,0.11,0,0,Ninguno,0,740,0.360623782,1312,0.639376218,2052,2123,28.68%,82.71%,No,No,0,0
TIBASOSA,BOYACA,2899,20.05%,4095,53.07%,Ramirez,50.25%,4356,56.45%,Zuluaga,8412,0.07,0.21,0.56,2.82,0.42,0.14,0,0,Ninguno,0,1685,0.477743124,1842,0.522256876,3527,3615,42.97%,66.11%,No,No,0,0
TINJACA,BOYACA,1011,20.72%,1255,49.04%,Ramirez,54.85%,1402,54.79%,Zuluaga,2538,0,0,1.65,2.63,0,0,0,0,Ninguno,0,505,0.444151275,632,0.555848725,1137,1162,45.78%,85.08%,No,No,0,0
TIPACOQUE,BOYACA,1267,47.04%,1384,42.45%,Zuluaga,54.69%,1653,50.71%,Zuluaga,3353,0,0,5.38,7.91,0,0,0,0,Ninguno,0,520,0.482822656,557,0.517177344,1077,1136,33.88%,73.26%,No,No,0,0
TOCA,BOYACA,1709,25.81%,2960,43.88%,Zuluaga,53.81%,3856,57.16%,Zuluaga,6996,0.1,0.69,1.09,0,0.2,0,0,0,Ninguno,0,1168,0.513406593,1107,0.486593407,2275,2344,33.50%,64.54%,No,No,0,0
TOGUI,BOYACA,1073,25.15%,1360,32.46%,Santos,53.08%,1754,41.86%,Zuluaga,4284,0,1.01,13.38,5.48,0,0.2,0,0,Ninguno,0,410,0.442764579,516,0.557235421,926,967,22.57%,84.84%,No,No,0,0
TOPAGA,BOYACA,1147,33.44%,1537,54.97%,Zuluaga,66.67%,1680,60.09%,Zuluaga,2924,0,1.89,5.14,0,0,0,0,0,Ninguno,0,789,0.58836689,552,0.41163311,1341,1370,46.85%,62.21%,No,No,0,0
TOTA,BOYACA,1279,52.87%,1623,41.06%,Zuluaga,73.89%,2156,54.54%,Zuluaga,4105,0,0.19,3.55,2.99,0.19,0,0,0,Ninguno,0,590,0.649779736,318,0.350220264,908,943,22.97%,89.54%,No,No,0,0
TUNUNGUA,BOYACA,476,25.37%,536,43.44%,Santos,37.50%,688,55.75%,Santos,1314,0,5.37,33.85,2.69,0,0,0,0,Ninguno,0,181,0.281931464,461,0.718068536,642,655,49.85%,79.56%,No,No,0,0
TURMEQUE,BOYACA,1178,17.39%,2157,37.82%,Lopez,53.24%,2688,47.13%,Zuluaga,5703,0,0,1.82,0.33,0,0,0,0,Ninguno,0,568,0.328513592,1161,0.671486408,1729,1786,31.32%,59.41%,No,No,0,0
TUTA,BOYACA,2640,15.61%,3415,49.75%,Ramirez,55.60%,3860,56.23%,Zuluaga,7216,0,0.31,2.88,0,0,0,0,0,Ninguno,0,1497,0.493570722,1536,0.506429278,3033,3113,43.14%,72.71%,No,No,0,0
TUTAZA,BOYACA,744,32.46%,878,49.91%,Zuluaga,69.20%,1013,57.59%,Zuluaga,1841,0.54,9.17,61.49,21.57,0,0,0,0,Ninguno,0,412,0.455752212,492,0.544247788,904,949,51.55%,89.85%,No,No,0,0
UMBITA,BOYACA,1741,46.83%,3009,51.44%,Zuluaga,78.38%,3288,56.21%,Zuluaga,5815,0.1,0.39,7.65,1.36,0.1,0,0,0,Ninguno,0,1224,0.555353902,980,0.444646098,2204,2281,39.23%,82.34%,No,No,0,0
VENTAQUEMADA,BOYACA,2766,18.00%,4299,40.75%,Ramirez,71.91%,5052,47.89%,Zuluaga,10912,0,0,1.87,0.64,0,0,0,0,Ninguno,0,1689,0.518894009,1566,0.481105991,3255,3354,30.74%,84.59%,No,No,0,0
VIRACACHA,BOYACA,714,29.02%,1168,45.27%,Ramirez,75.24%,1438,55.74%,Zuluaga,2553,0,0,1.87,0.31,0,0,0,0,Ninguno,0,452,0.568553459,343,0.431446541,795,822,32.20%,88.47%,No,No,0,0
ZETAQUIRA,BOYACA,1209,37.87%,1249,33.12%,Zuluaga,54.63%,1878,49.80%,Zuluaga,3874,0.22,11.14,45.89,9.58,0.89,0,0,0,Ninguno,0,473,0.342010123,910,0.657989877,1383,1410,36.40%,77.00%,No,No,0,0
MANIZALES,CALDAS,108874,29.75%,162166,52.01%,Zuluaga,54.23%,163358,52.39%,Zuluaga,323102,0.1,0.6,9.16,3.81,0.08,0.02,0.02,0,Ninguno,0,76961,0.509334816,74140,0.490665184,151101,154340,47.77%,6.94%,No,No,0,0
AGUADAS,CALDAS,7526,48.51%,8355,44.86%,Zuluaga,76.31%,9444,50.70%,Zuluaga,18854,1.01,7.68,153.17,42.03,1.6,0.14,0.37,0,Ninguno,0,4766,0.708488182,1961,0.291511818,6727,7035,37.31%,48.84%,No,No,0,0
ANSERMA,CALDAS,11528,54.92%,13377,48.94%,Zuluaga,79.73%,14841,54.30%,Zuluaga,27896,0.39,6.12,111.08,40.75,1.19,0.18,0,0,Ninguno,0,7430,0.688855924,3356,0.311144076,10786,11209,40.18%,37.23%,No,No,0,0
ARANZAZU,CALDAS,4516,46.44%,5248,46.31%,Zuluaga,80.54%,5900,52.06%,Zuluaga,11540,0.71,3.1,57.91,31.52,0.09,0.27,0,0,Ninguno,0,2409,0.604972376,1573,0.395027624,3982,4191,36.32%,42.86%,No,No,0,0
BELALCAZAR,CALDAS,3828,42.40%,4278,42.86%,Zuluaga,66.26%,4805,48.14%,Zuluaga,10118,0.84,5.58,44.24,26.77,0.74,0,0,0,Bajo,1,2105,0.58165239,1514,0.41834761,3619,3890,38.45%,54.08%,No,No,0,0
CHINCHINA,CALDAS,15251,36.88%,18959,45.34%,Zuluaga,61.28%,20743,49.60%,Zuluaga,43763,0.2,1.46,27.57,13.53,0.08,0,0,0,Ninguno,0,10543,0.630260641,6185,0.369739359,16728,17205,39.31%,11.37%,No,No,0,0
FILADELFIA,CALDAS,4336,37.39%,3956,41.62%,Zuluaga,63.58%,4827,50.78%,Zuluaga,9343,1.2,4.87,68.79,32.09,0.09,0.18,0,0,Ninguno,0,1783,0.56639136,1365,0.43360864,3148,3281,35.12%,62.82%,No,No,0,0
LA DORADA,CALDAS,19136,41.94%,23128,40.88%,Zuluaga,58.13%,25519,45.10%,Zuluaga,57740,0.47,4.32,48.01,29.24,0.9,0.25,0.05,0,Ninguno,0,13558,0.662464575,6908,0.337535425,20466,21133,36.60%,9.98%,No,No,0,0
LA MERCED,CALDAS,2797,25.90%,2317,41.29%,Ramirez,62.85%,2751,49.02%,Zuluaga,5641,0.19,28.18,187.09,44.69,0.93,0,0,0,Ninguno,0,1108,0.561296859,866,0.438703141,1974,2067,36.64%,60.54%,No,No,0,0
MANZANARES,CALDAS,5649,62.64%,6750,44.24%,Zuluaga,76.96%,7813,51.21%,Zuluaga,15465,0.95,4.72,119.42,21.24,0.39,0.22,0.09,0,Ninguno,0,3146,0.639560886,1773,0.360439114,4919,5092,32.93%,57.98%,No,No,0,0
MARMATO,CALDAS,1913,32.81%,2085,33.23%,Zuluaga,66.35%,2618,41.72%,Zuluaga,6840,0.76,4.15,55.34,23.47,0.33,0,0,0,Ninguno,0,1133,0.687917426,514,0.312082574,1647,1711,25.01%,87.86%,No,No,0,0
MARQUETALIA,CALDAS,4663,68.77%,5514,49.14%,Zuluaga,83.86%,5998,53.45%,Zuluaga,11445,0.27,12.07,451.47,23.4,0.53,0.2,0,0,Ninguno,0,2427,0.625676721,1452,0.374323279,3879,4073,35.59%,57.57%,No,No,0,0
MARULANDA,CALDAS,1112,53.11%,1175,43.94%,Zuluaga,62.68%,1404,52.51%,Zuluaga,2658,12.07,73.32,570.67,47.7,0.59,0.59,2.65,0,Ninguno,0,391,0.502570694,387,0.497429306,778,831,31.26%,63.14%,No,No,0,0
NEIRA,CALDAS,6999,45.58%,8699,46.06%,Zuluaga,65.06%,9698,51.35%,Zuluaga,19307,0.23,2.21,46.06,14.02,0.29,0,0.03,0,Ninguno,0,4191,0.647358665,2283,0.352641335,6474,6743,34.93%,47.22%,No,No,0,0
NORCASIA,CALDAS,2373,37.38%,2469,44.37%,Santos,50.82%,2690,48.35%,Zuluaga,5865,1.58,28.63,182.22,22.94,2.37,0.32,1.11,0,Ninguno,0,1179,0.565467626,906,0.434532374,2085,2172,37.03%,33.17%,No,No,0,0
PACORA,CALDAS,4975,45.41%,5261,44.20%,Zuluaga,61.02%,6439,54.10%,Zuluaga,12064,0.77,4.37,136.81,19.1,1.03,0,0.34,0,Ninguno,0,2727,0.637894737,1548,0.362105263,4275,4413,36.58%,53.07%,No,No,0,0
PALESTINA,CALDAS,5927,36.02%,6254,41.54%,Zuluaga,52.98%,7405,49.19%,Zuluaga,14755,0.96,3.61,47.07,37.42,0.11,0,0,0,Ninguno,0,2513,0.573744292,1867,0.426255708,4380,4465,30.26%,62.43%,No,No,0,0
